"DateIso","Portfolio","Benchmark"
"2013-01-31","100","100"
"2013-02-28","100.098060316255","99.8997795149328"
"2013-03-31","103.811160908846","101.723792343155"
"2013-04-30","105.534080086428","104.610142313089"
"2013-05-31","107.689412989117","104.20926037282"
"2013-06-30","105.625655228634","100.220485067148"
"2013-07-31","113.142659170221","104.810583283223"
"2013-08-31","110.238828683892","102.405291641611"
"2013-09-30","117.625728068742","108.077771096412"
"2013-10-31","120.796701167014","112.347163760273"
"2013-11-30","124.831441635702","114.091000200441"
"2013-12-31","127.126183897129","115.494086991381"
"2014-01-31","127.636242972571","110.142313088795"
"2014-02-28","135.657941899834","115.874924834636"
"2014-03-31","131.771804196504","116.536380036079"
"2014-04-30","128.867981050116","117.919422730006"
"2014-05-31","131.449109843655","120.284626177591"
"2014-06-30","134.780175721483","120.785728602926"
"2014-07-31","131.119081750431","119.041892162758"
"2014-08-31","136.654494583742","122.108639005813"
"2014-09-30","133.572638319208","118.0597314091"
"2014-10-31","137.509147057242","119.482862297054"
"2014-11-30","141.723065227673","121.126478252155"
"2014-12-31","142.858799224601","117.257967528563"
"2015-01-31","142.576137928968","115.714572058529"
"2015-02-28","148.449684942936","122.088594908799"
"2015-03-31","149.332474932113","120.304670274604"
"2015-04-30","149.023644484523","123.752254960914"
"2015-05-31","153.074077896552","123.752254960914"
"2015-06-30","150.444926830107","119.162156744839"
"2015-07-31","152.042080990675","120.144317498497"
"2015-08-31","142.800533992671","111.966325917017"
"2015-09-30","140.576062382927","108.117859290439"
"2015-10-31","140.696506769676","116.396071356985"
"2015-11-30","142.271627530475","115.774704349569"
"2015-12-31","140.106077505908","111.886149528964"
"2016-01-31","137.131232611284","105.953096812989"
"2016-02-29","137.983905754904","104.630186410102"
"2016-03-31","140.408385431771","112.367207857286"
"2016-04-30","140.470764585873","113.870515133293"
"2016-05-31","139.5284511721","114.251352976548"
"2016-06-30","144.622184434879","112.707957506514"
"2016-07-31","150.266832212049","116.957306073361"
"2016-08-31","149.405006624936","117.35818801363"
"2016-09-30","151.174710974878","118.460613349369"
"2016-10-31","147.001063822511","116.195630386851"
"2016-11-30","149.307374149231","117.398276207657"
"2016-12-31","149.015234854501","118.600922028463"
"2017-01-31","153.934355892242","122.048506714773"
"2017-02-28","156.311689988095","125.115253557827"
"2017-03-31","157.897836744898","126.798957706955"
"2017-04-30","160.288552216533","128.843455602325"
"2017-05-31","165.122314367652","131.689717378232"
"2017-06-30","164.309640422676","131.26879134095"
"2017-07-31","169.961249482398","134.856684706354"
"2017-08-31","174.652834845103","135.397875325717"
"2017-09-30","179.120074795312","137.943475646422"
"2017-10-31","184.925433719135","140.91000200441"
"2017-11-30","187.355837011331","143.756263780317"
"2017-12-31","188.841887127681","144.497895369814"
"2018-01-31","201.589258037304","152.736019242333"
"2018-02-28","195.470673705828","145.900982160754"
"2018-03-31","191.432414152638","143.71617558629"
"2018-04-30","188.428836873353","144.297454399679"
"2018-05-31","195.186587456456","144.978953698136"
"2018-06-30","192.644115463659","142.553617959511"
"2018-07-31","193.919878535556","146.923231108439"
"2018-08-31","200.537862016065","147.945480056124"
"2018-09-30","200.607394188384","148.847464421728"
"2018-10-31","180.437382791195","137.783122870315"
"2018-11-30","183.208429243186","139.967929444778"
"2018-12-31","174.585364919331","128.602926438164"
"2019-01-31","174.223908176796","138.945680497094"
"2019-02-28","174.038896713871","142.37322108639"
"2019-03-31","173.886138689222","144.618159951894"
"2019-04-30","176.254245303146","149.569051914211"
"2019-05-31","166.062529530522","140.489075967128"
"2019-06-30","173.008530340168","147.745039085989"
"2019-07-31","175.379890793164","147.845259571056"
"2019-08-31","178.232308172851","144.578071757867"
"2019-09-30","178.180491474315","147.825215474043"
"2019-10-31","180.434054127378","151.874123070756"
"2019-11-30","185.6327392012","155.421928242133"
"2019-12-31","189.209805616211","158.849468831429"
"2020-01-31","191.873424912162","156.564441771898"
"2020-02-29","191.873424912162","144.838645019042"
"2020-03-31","168.990568366246","125.415915013029"
"2020-04-30","175.885511088971","137.743034676288"
"2020-05-31","187.743226232122","144.758468630988"
"2020-06-30","197.432976509122","147.765083183003"
"2020-07-31","210.285296939439","155.682501503307"
"2020-08-31","248.578197568488","165.063138905592"
"2020-09-30","244.338477324813","160.192423331329"
"2020-10-31","246.293988865291","156.624574062938"
"2020-11-30","277.674958343292","175.04509921828"
"2020-12-31","297.389880385666","181.840048105833"
"2021-01-31","314.80510338242","181.278813389457"
"2021-02-28","316.51032131121","185.427941471237"
"2021-03-31","311.552816702149","190.719583082782"
"2021-04-30","316.22060870158","198.817398276208"
"2021-05-31","308.417169901593","201.743836440168"
"2021-06-30","312.819014408985","202.826217678894"
"2021-07-31","313.831499847777","204.670274604129"
"2021-08-31","315.677905113368","209.12006414111"
"2021-09-30","310.663510987763","200.280617358188"
"2021-10-31","330.568443587073","211.084385648426"
"2021-11-30","322.590713413826","206.213670074163"
"2021-12-31","326.389842064362","212.026458208058"
"2022-01-31","312.614306620423","202.385247544598"
"2022-02-28","314.394816545284","196.191621567448"
"2022-03-31","320.853138269481","200"
"2022-04-30","307.04148833066","183.864501904189"
"2022-05-31","310.529534603506","184.68630988174"
"2022-06-30","300.448851731516","168.14992984566"
"2022-07-31","299.544884980662","180.036079374624"
"2022-08-31","298.654807655737","172.17879334536"
"2022-09-30","295.556312043238","156.003207055522"
"2022-10-31","295.623762299773","165.904990980156"
"2022-11-30","298.712946720649","179.735417919423"
