"DateIso","Portfolio","Benchmark"
"2002-11-13","100","100"
"2002-12-12","103.293646864856","101.287395271229"
"2003-01-13","104.908518631503","101.848483455248"
"2003-02-11","110.042252899569","98.0934303626356"
"2003-03-12","112.904693936529","98.4609197856874"
"2003-04-09","107.839762253299","104.374868603525"
"2003-05-08","108.124977346878","106.1471250652"
"2003-06-06","113.382330881313","112.318728630389"
"2003-07-07","112.031301134526","111.87820921129"
"2003-08-04","111.82801897714","109.845666442544"
"2003-09-02","118.533022180995","112.374523129755"
"2003-09-30","118.160690847128","111.144357062487"
"2003-10-28","127.0733157889","119.359479310565"
"2003-11-25","130.236624309264","121.912591295252"
"2003-12-24","137.426133118403","127.166503286047"
"2004-01-26","142.17020044148","130.785723827438"
"2004-02-24","142.134068472596","130.270518515353"
"2004-03-23","140.424608151659","125.372817492414"
"2004-04-21","131.564475977062","125.859228104774"
"2004-05-19","127.413378474716","124.314675814945"
"2004-06-18","130.338102692509","126.834926769262"
"2004-07-19","131.827577185013","126.17735683485"
"2004-08-16","130.314388483121","124.195085744455"
"2004-09-14","131.590477093665","127.165687707341"
"2004-10-12","138.773103491499","127.906608111044"
"2004-11-09","135.748316274309","128.151283538058"
"2004-12-08","132.560885898786","126.120296609795"
"2005-01-06","133.53269352803","126.975567720272"
"2005-02-04","135.413399282595","124.928730758215"
"2005-03-07","136.140384283679","125.066355472046"
"2005-04-05","132.879318378453","122.816045937958"
"2005-05-03","129.943609675204","120.408082818135"
"2005-06-01","132.25479485311","122.813139779111"
"2005-06-29","136.539693569417","125.511064063787"
"2005-07-28","140.741312139831","128.094353251896"
"2005-08-25","140.589789689442","128.669985239692"
"2005-09-23","142.649944237698","131.297096116479"
"2005-10-21","142.055223889907","130.733497520468"
"2005-11-18","144.697496952272","131.901704561"
"2005-12-19","145.055074445429","133.121644809745"
"2006-01-19","149.096308599511","132.407697349779"
"2006-02-16","151.396920870515","131.030675447039"
"2006-03-17","155.198114532584","133.490117521151"
"2006-04-17","155.384060642021","131.339789444258"
"2006-05-15","155.082348988786","132.9322241698"
"2006-06-13","139.510210523797","126.409810463888"
"2006-07-12","143.491041294047","129.550365901284"
"2006-08-09","145.473321734694","133.481098929493"
"2006-09-07","148.035661011371","134.415361899269"
"2006-10-05","148.705143208663","136.903907076645"
"2006-11-02","151.825986216794","137.803324709079"
"2006-12-01","155.687242782155","140.373398955571"
"2007-01-03","161.065906387891","142.039991427458"
"2007-02-01","167.72889824353","144.89998238882"
"2007-03-02","169.145288230332","144.370272648834"
"2007-03-30","174.499318729745","147.008019532193"
"2007-04-30","182.679994523641","150.492032663554"
"2007-05-29","186.434245643475","151.800050936644"
"2007-06-26","184.912559347892","150.880503251616"
"2007-07-25","189.387869729828","152.231073630012"
"2007-08-22","189.344198971248","151.618804652125"
"2007-09-20","193.931909469951","154.857152928586"
"2007-10-18","200.749080958145","158.994871064313"
"2007-11-15","200.076876401908","156.334578145557"
"2007-12-14","202.479181506237","157.257514679326"
"2008-01-15","207.088603819285","154.500541620585"
"2008-02-13","201.475761222214","151.894475582928"
"2008-03-13","214.656608351842","158.551399917058"
"2008-04-11","208.202067562983","161.202801806045"
"2008-05-09","223.204740926767","176.34556250311"
"2008-06-09","223.562943041384","172.035063375166"
"2008-07-08","222.47477609525","161.385880617861"
"2008-08-05","212.393589488627","158.933398641647"
"2008-09-03","225.305117340251","173.147636942352"
"2008-10-01","221.60644059509","166.605444336978"
"2008-10-29","204.882094594181","164.522453858573"
"2008-11-26","201.517162786241","167.033428232422"
"2008-12-26","188.552533870691","153.982867131636"
"2009-01-27","187.601824133363","156.638835227514"
"2009-02-25","189.731855375729","158.031422906592"
"2009-03-25","174.624354367392","151.970533976978"
"2009-04-23","172.87829602987","155.77182942776"
"2009-05-21","169.591396543267","156.363727669319"
"2009-06-19","171.5925599784","162.168135310545"
"2009-07-20","175.47722003885","164.551650328871"
"2009-08-17","176.244827279235","172.123177031103"
"2009-09-15","183.166543736127","176.593493633321"
"2009-10-13","182.01592693156","174.122499493139"
"2009-11-10","183.853732691075","174.961723437834"
"2009-12-09","184.578478117171","174.724430853548"
"2010-01-08","184.800190801693","173.745959713108"
"2010-02-08","184.551926037926","168.773102617245"
"2010-03-09","188.17156708357","172.982899550214"
"2010-04-07","188.838587821766","175.099040831705"
"2010-05-05","184.802337937825","171.474048838707"
"2010-06-03","190.612836766359","175.117808841852"
"2010-07-01","190.160317442948","173.807804168946"
"2010-07-30","190.765097786062","178.984333243962"
"2010-08-27","194.347636692028","177.425023618675"
"2010-09-27","195.932319247342","182.125684759695"
"2010-10-25","196.454531838221","183.887974139286"
"2010-11-22","199.197518876672","185.134339298657"
"2010-12-21","204.05423088404","192.428566956997"
"2011-01-20","198.105663742994","189.77316180655"
"2011-02-17","205.931925207086","194.092222973712"
"2011-03-18","206.518464938036","191.235365757073"
"2011-04-15","208.918731073516","191.071948017842"
"2011-05-16","208.469523503023","192.202212627748"
"2011-06-14","206.064929420611","188.828337433015"
"2011-07-13","207.30445329955","186.022718735749"
"2011-08-10","196.43191599908","172.775569550153"
"2011-09-08","202.697689167589","176.347138092269"
"2011-10-06","203.440215298923","186.203585890696"
"2011-11-03","204.39109835362","186.681104572792"
"2011-12-02","204.071697724742","185.730089352388"
"2012-01-03","206.701210255081","190.752917604577"
"2012-02-01","206.302114205815","194.428953333628"
"2012-03-01","208.426480545704","198.49479318736"
"2012-03-29","207.470885260584","201.418222835284"
"2012-04-27","210.036806797831","200.628480964843"
"2012-05-25","209.560955123695","196.643820002861"
"2012-06-25","208.305034757039","193.514729050657"
"2012-07-24","211.739548651584","193.373937747593"
"2012-08-21","214.397596753177","201.097413394782"
"2012-09-19","217.574208534432","205.023007249663"
"2012-10-17","218.160855876971","203.577560653307"
"2012-11-16","210.16769212812","192.012038695767"
"2012-12-17","211.928914816809","198.066396140347"
"2013-01-16","215.028047781733","199.746098292748"
"2013-02-14","222.48197162369","206.737751972049"
"2013-03-15","232.751919404995","214.504517305933"
"2013-04-15","233.609131092476","215.261327188182"
"2013-05-13","240.554370513587","220.557551437661"
"2013-06-11","235.210593616976","220.327021954811"
"2013-07-10","238.583768026378","219.38276202479"
"2013-08-07","243.334476227559","222.258596464521"
"2013-09-05","236.240422658723","215.518087314613"
"2013-10-03","238.631665524418","218.207112699671"
"2013-10-31","239.800438739091","222.702933741186"
"2013-11-29","251.047856969075","223.120124697966"
"2013-12-30","254.143287240573","224.501189016832"
"2014-01-29","255.784461425898","223.678371627308"
"2014-02-27","266.372895409361","229.505975935082"
"2014-03-27","261.287048996944","229.366461278727"
"2014-04-25","254.232308831257","226.018305123442"
"2014-05-23","254.469391881414","226.568745460932"
"2014-06-23","258.478882960311","229.683044221738"
"2014-07-22","260.510813176615","232.441532120028"
"2014-08-19","260.634832625048","230.389803682491"
"2014-09-17","262.976328178043","232.776990675566"
"2014-10-15","265.007472371626","225.990054058375"
"2014-11-12","279.103942042153","243.161496431291"
"2014-12-11","287.073074780533","242.482751797678"
"2015-01-12","288.824599435208","236.599414501281"
"2015-02-10","290.098281440308","243.455429380012"
"2015-03-11","299.98290418683","248.026106230099"
"2015-04-09","302.822980073779","248.318202830016"
"2015-05-07","299.960029196497","248.626869861575"
"2015-06-05","312.157489176954","251.712036618191"
"2015-07-06","306.221430370572","250.55209660827"
"2015-08-03","314.45537821542","262.388808690788"
"2015-08-31","308.020971894336","253.631596779352"
"2015-09-29","301.567041141015","247.033936114726"
"2015-10-27","301.288633657634","250.720344571468"
"2015-11-24","311.081610460987","252.394937074105"
"2015-12-23","311.122010045276","255.045021619358"
"2016-01-25","296.756625236098","243.77091336886"
"2016-02-23","308.622656474275","256.2387855063"
"2016-03-22","304.364592420767","254.202957156706"
"2016-04-20","302.455919105558","256.083112792269"
"2016-05-18","310.603546341154","261.990663685163"
"2016-06-16","317.884289620784","260.01672952244"
"2016-07-15","322.096130582426","260.774635991298"
"2016-08-12","320.689540595664","259.026854112502"
"2016-09-12","318.926609876391","258.361112500007"
"2016-10-10","314.784256362607","258.253215237564"
"2016-11-07","318.501723710634","261.834725040528"
"2016-12-06","323.772917488946","268.822391852007"
"2017-01-05","333.955305119507","278.062783465254"
"2017-02-03","329.512574393011","270.897010053181"
"2017-03-06","336.435483605528","279.356594345192"
"2017-04-03","327.56493603598","272.546246643652"
"2017-05-02","335.049297952935","280.373638995639"
"2017-05-31","337.190787192536","282.86832905853"
"2017-06-28","343.914330990927","290.892370932083"
"2017-07-27","343.331690962998","289.305359934238"
"2017-08-24","346.899718318842","292.531425168143"
"2017-09-22","359.45340156262","299.937048590799"
"2017-10-20","362.662543802493","303.123741357688"
"2017-11-17","359.320927746139","294.048203547496"
"2017-12-18","364.147645816209","298.8172548254"
"2018-01-18","376.383593389917","305.32488244403"
"2018-02-15","370.087452553201","299.23150301929"
"2018-03-16","365.34307920197","300.47537472532"
"2018-04-16","359.359394037863","298.373805957801"
"2018-05-14","367.788757468422","299.550046084982"
"2018-06-12","369.893416684313","302.26995392718"
"2018-07-11","377.90259881802","311.27259736087"
"2018-08-08","378.791701231234","314.562540904418"
"2018-09-06","384.797579301385","313.142467245345"
"2018-10-04","383.557699100027","316.155764895355"
"2018-11-01","368.539488507126","302.981331657667"
"2018-11-30","361.916927989917","302.140042327185"
"2019-01-02","343.698051543923","288.372089056421"
"2019-01-31","363.281525777815","304.537842015483"
"2019-03-01","369.330390930343","314.362591913812"
"2019-03-29","376.783725834847","320.517395291914"
"2019-04-29","382.437502566079","333.959674988446"
"2019-05-28","387.970367244929","332.834430829624"
"2019-06-25","400.346679930257","336.033266799673"
"2019-07-24","412.710423195636","348.299372768509"
"2019-08-21","425.113338933194","347.627593026385"
"2019-09-19","425.820250526097","352.845572355501"
"2019-10-17","426.157363442161","349.779434322736"
"2019-11-14","420.848185208376","353.095642345908"
"2019-12-13","423.615523068313","361.981491902938"
"2020-01-14","426.982040628338","364.567567714699"
"2020-02-12","441.138332661057","376.422975049941"
"2020-03-12","387.177991802478","315.866834953444"
"2020-04-09","409.174796442256","338.316353697015"
"2020-05-08","424.745022117421","351.744558089351"
"2020-06-08","434.659268201561","374.802274110747"
"2020-07-07","454.14156977786","371.976290453918"
"2020-08-04","468.118451431969","385.657341545614"
"2020-09-01","473.65477851778","397.169846544414"
"2020-09-30","443.912353868988","379.992213144875"
"2020-10-28","436.829342552771","365.249016792308"
"2020-11-25","452.308098542578","387.827160557039"
"2020-12-24","476.038245654094","395.58942222092"
"2021-01-26","496.271110356524","408.688418587288"
"2021-02-24","508.272580555834","412.878803701575"
"2021-03-24","477.536384209622","414.919815204168"
"2021-04-22","487.827198429497","426.744529627305"
"2021-05-20","500.4133600203","432.771797573785"
"2021-06-18","496.119623805582","436.401707459479"
"2021-07-19","501.455529539836","445.572261982252"
"2021-08-16","518.174239427856","464.541731265706"
"2021-09-14","520.227537663939","466.105062064353"
"2021-10-12","522.688095114645","464.076085557072"
"2021-11-09","529.58372693849","478.417108129934"
"2021-12-08","520.653412290626","471.240222607792"
"2022-01-06","531.525754029669","480.127247515997"
"2022-02-04","516.374753636008","465.207905622071"
"2022-03-07","507.437364330037","448.331146781321"
"2022-04-04","518.056974476167","467.39375604504"
"2022-05-03","527.650663294285","449.213106350949"
"2022-06-01","531.311561228946","439.932819690574"
"2022-06-30","505.06499369133","428.062931998046"
"2022-07-29","528.991935316245","456.412932261644"
"2022-08-26","541.786861396765","459.301373913526"
"2022-09-26","524.878799183196","444.948862767778"
