"FundCode","FundName","ProductName","ClassName","Vintage","Manager","OneWeek","OneMonth","ThreeMonth","SixMonth","NineMonth","OneYear","TwoYear","ThreeYear","FiveYear","YTD","NetAssets","FundAssets","InceptionDate","MajorType","MinorType","BM","Flow1YAssetsCurrent","Flow1YAssetsCompare","Flow1YAssetsChange","Flow1YCashFlow","Flow1YShareCurrent","Flow1YShareCompare","Flow1YShareChange","Flow3YAssetsCurrent","Flow3YAssetsCompare","Flow3YAssetsChange","Flow3YCashFlow","Flow3YShareCurrent","Flow3YShareCompare","Flow3YShareChange","Risk1YMeanReturn","Risk1YStdDev","Risk1YAlpha","Risk1YBeta","Risk1YRSquare","Risk1YSharpe","Risk1YTreynor","Risk1YResidualRisk","Risk1YIR","Risk1YDownsideDev","Risk1YUpsideDev","Risk1YRiskNetAssets","Risk1YModifiedSharpe","Risk3YMeanReturn","Risk3YStdDev","Risk3YAlpha","Risk3YBeta","Risk3YRSquare","Risk3YSharpe","Risk3YTreynor","Risk3YResidualRisk","Risk3YIR","Risk3YDownsideDev","Risk3YUpsideDev","Risk3YRiskNetAssets","Risk3YModifiedSharpe","AllocationEquity","AllocationBond","AllocationFuturesLong","AllocationFuturesShort","AllocationOptionsLong","AllocationOptionsShort","AllocationFundSecurities","AllocationLiquidity","AllocationNetAssets","AllocationFundAssets","AllocationETF","AllocationEquityPct","AllocationBondPct","AllocationFuturesLongPct","AllocationFuturesShortPct","AllocationFundSecuritiesPct","AllocationLiquidityPct","AllocationETFPct"
"K55234DF2814","IBK로우코스트적격TDF2040자[주혼-재간접]종류C-R","IBK로우코스트적격TDF2040자[주혼-재간접]","종류C-R","2040","아이비케이운용","1.2","5.06","7.18","9.23","17.08","23.47","33.74","53.31","56.04","9.96","0.35","0.23","2021-04-02","해외기타","글로벌라이프싸이클","MSCI ACWI CR 50% + 종합채권01Y 50%","0.35","1.75","-1.4","-1.52","0","0","0","0.35","0.09","0.26","0.11","0","0","0","0.39","6.03","8.22","0.84","0.44","2.92","20.89","4.55","1.42","4.5","4.81","0.35","2.92","0.27","7.11","4.36","0.83","0.45","1.52","12.98","5.35","0.57","5.78","5.05","0.35","1.52","0","0","0","0","0","0","0.34","0.01","0.35","0.23","0","0","0","0","0","97.142857","2.857143","0"
"K55234DF2822","IBK로우코스트적격TDF2040자[주혼-재간접]종류C-Re","IBK로우코스트적격TDF2040자[주혼-재간접]","종류C-Re","2040","아이비케이운용","1.21","5.07","7.21","9.31","17.2","23.64","34.11","53.95","56.65","10.03","409.19","265.68","2021-04-06","해외기타","글로벌라이프싸이클","MSCI ACWI CR 50% + 종합채권01Y 50%","409.19","197.33","211.86","146.94","0.12","0.11","0.01","409.19","6.54","402.65","330.04","0.12","0.01","0.11","0.39","6.02","8.37","0.84","0.44","2.95","21.06","4.55","1.45","4.48","4.82","409.43","2.95","0.27","7.11","4.49","0.83","0.45","1.54","13.15","5.35","0.6","5.76","5.06","409.43","1.54","0","0","0","0","0","0","399.74","8.66","409.19","265.68","0","0","0","0","0","97.690559","2.116376","0"
"K55234DF2855","IBK로우코스트적격TDF2040자[주혼-재간접]종류S-R","IBK로우코스트적격TDF2040자[주혼-재간접]","종류S-R","2040","아이비케이운용","1.21","5.08","7.24","9.37","17.3","23.78","34.41","54.48","","10.08","0.28","0.19","2022-02-23","해외기타","글로벌라이프싸이클","MSCI ACWI CR 50% + 종합채권01Y 50%","0.28","0.22","0.06","0","0","0","0","0.28","0.05","0.23","0.16","0","0","0","0.39","6.02","8.47","0.84","0.44","2.96","21.19","4.55","1.48","4.47","4.84","0.28","2.96","0.27","7.11","4.61","0.83","0.45","1.56","13.28","5.35","0.62","5.75","5.08","0.28","1.56","0","0","0","0","0","0","0.27","0.01","0.28","0.19","0","0","0","0","0","96.428571","3.571429","0"
"K55234DF2913","IBK로우코스트적격TDF2045자[주혼-재간접]종류Cf","IBK로우코스트적격TDF2045자[주혼-재간접]","종류Cf","2045","아이비케이운용","1.37","5.71","8.29","10.64","19.51","26.7","38.45","61.69","67.22","11.39","3.45","2.1","2021-03-29","해외기타","글로벌라이프싸이클","MSCI ACWI CR 50% + 종합채권01Y 50%","3.45","2.72","0.73","0","0","0","0","3.45","2.13","1.32","-0.02","0","0","0","0.44","6.54","9.9","0.91","0.44","3.07","21.96","4.89","1.83","4.55","5.43","3.42","3.07","0.3","7.71","5.55","0.9","0.45","1.63","13.9","5.73","0.84","6.11","5.53","3.42","1.63","0","0","0","0","0","0","3.36","0.08","3.45","2.1","0","0","0","0","0","97.391304","2.318841","0"
"K55234DF2939","IBK로우코스트적격TDF2045자[주혼-재간접]종류S","IBK로우코스트적격TDF2045자[주혼-재간접]","종류S","2045","아이비케이운용","1.37","5.73","8.36","10.78","19.74","27.02","39.12","62.79","","11.51","","","2022-07-18","해외기타","글로벌라이프싸이클","MSCI ACWI CR 50% + 종합채권01Y 50%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.44","6.54","10.14","0.91","0.44","3.11","22.23","4.89","1.88","4.77","5.28","0","3.11","0.31","7.7","5.78","0.9","0.45","1.66","14.15","5.73","0.88","6.18","5.49","0","1.66","0","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"K55234DF2947","IBK로우코스트적격TDF2045자[주혼-재간접]종류S-P","IBK로우코스트적격TDF2045자[주혼-재간접]","종류S-P","2045","아이비케이운용","1.37","5.71","8.28","10.62","19.48","26.65","38.38","61.63","","11.37","0.55","0.36","2022-03-11","해외기타","글로벌라이프싸이클","MSCI ACWI CR 50% + 종합채권01Y 50%","0.55","0.05","0.51","0.43","0","0","0","0.55","0.01","0.54","0.47","0","0","0","0.44","6.54","9.86","0.91","0.44","3.06","21.92","4.89","1.82","4.56","5.43","0.55","3.06","0.3","7.7","5.53","0.9","0.45","1.63","13.88","5.73","0.84","6.11","5.53","0.55","1.63","0","0","0","0","0","0","0.54","0.01","0.55","0.36","0","0","0","0","0","98.181818","1.818182","0"
"K55234DF2970","IBK로우코스트적격TDF2045자[주혼-재간접]종류C-R","IBK로우코스트적격TDF2045자[주혼-재간접]","종류C-R","2045","아이비케이운용","1.36","5.69","8.22","10.48","19.26","26.35","37.86","60.82","66.51","11.26","2.93","1.79","2021-04-02","해외기타","글로벌라이프싸이클","MSCI ACWI CR 50% + 종합채권01Y 50%","2.93","0.07","2.87","2.33","0","0","0","2.93","0","2.93","2.39","0","0","0","0.43","6.54","9.62","0.91","0.44","3.03","21.65","4.89","1.77","4.47","5.49","2.91","3.03","0.3","7.71","5.37","0.9","0.45","1.61","13.7","5.73","0.81","6.08","5.54","2.91","1.61","0","0","0","0","0","0","2.86","0.07","2.93","1.79","0","0","0","0","0","97.610922","2.389078","0"
"K55234DF2988","IBK로우코스트적격TDF2045자[주혼-재간접]종류C-Re","IBK로우코스트적격TDF2045자[주혼-재간접]","종류C-Re","2045","아이비케이운용","1.36","5.7","8.26","10.56","19.39","26.53","38.07","61.03","66.08","11.33","77.63","47.76","2021-04-07","해외기타","글로벌라이프싸이클","MSCI ACWI CR 50% + 종합채권01Y 50%","77.63","29.44","48.19","35.78","0.02","0.02","0.01","77.63","5.17","72.46","57.62","0.02","0","0.02","0.43","6.54","8.39","1.05","0.67","3.05","19.03","3.74","2.38","3.79","4.06","76.65","3.05","0.3","7.71","3.75","1.13","0.76","1.61","10.96","3.83","1.25","3.76","3.99","76.65","1.61","0","0","0","0","0","0","75.64","1.85","77.63","47.76","0","0","0","0","0","97.436558","2.383099","0"
"K55234DF3010","IBK로우코스트적격TDF2045자[주혼-재간접]종류S-R","IBK로우코스트적격TDF2045자[주혼-재간접]","종류S-R","2045","아이비케이운용","1.37","5.71","8.29","10.62","19.49","26.67","38.38","61.63","","11.38","0.41","0.27","2022-03-14","해외기타","글로벌라이프싸이클","MSCI ACWI CR 50% + 종합채권01Y 50%","0.41","0.12","0.29","0.23","0","0","0","0.41","0.01","0.4","0.32","0","0","0","0.44","6.54","9.87","0.91","0.44","3.07","21.94","4.89","1.82","4.55","5.43","0.41","3.07","0.3","7.7","5.54","0.9","0.45","1.63","13.88","5.73","0.84","6.11","5.53","0.41","1.63","0","0","0","0","0","0","0.4","0.01","0.41","0.27","0","0","0","0","0","97.560976","2.439024","0"
"K55234DF3085","IBK로우코스트적격TDF2050자[주혼-재간접]종류Cf","IBK로우코스트적격TDF2050자[주혼-재간접]","종류Cf","2050","아이비케이운용","1.53","6.37","9.38","11.94","21.75","29.64","42.34","68.33","75.51","12.74","3.63","2.11","2021-03-29","해외기타","글로벌라이프싸이클","MSCI ACWI CR 50% + 종합채권01Y 50%","3.63","2.8","0.83","0","0","0","0","3.63","2.15","1.47","-0.02","0","0","0","0.48","7.06","11.29","0.98","0.44","3.15","22.59","5.27","2.11","4.78","5.97","3.59","3.15","0.33","8.26","6.36","0.97","0.45","1.68","14.34","6.13","1","6.55","5.95","3.59","1.68","0","0","0","0","0","0","3.52","0.1","3.63","2.11","0","0","0","0","0","96.969697","2.754821","0"
