"FundCode","FundName","ProductName","ClassName","Vintage","Manager","OneWeek","OneMonth","ThreeMonth","SixMonth","NineMonth","OneYear","TwoYear","ThreeYear","FiveYear","YTD","NetAssets","FundAssets","InceptionDate","MajorType","MinorType","BM","Flow1YAssetsCurrent","Flow1YAssetsCompare","Flow1YAssetsChange","Flow1YCashFlow","Flow1YShareCurrent","Flow1YShareCompare","Flow1YShareChange","Flow3YAssetsCurrent","Flow3YAssetsCompare","Flow3YAssetsChange","Flow3YCashFlow","Flow3YShareCurrent","Flow3YShareCompare","Flow3YShareChange","Risk1YMeanReturn","Risk1YStdDev","Risk1YAlpha","Risk1YBeta","Risk1YRSquare","Risk1YSharpe","Risk1YTreynor","Risk1YResidualRisk","Risk1YIR","Risk1YDownsideDev","Risk1YUpsideDev","Risk1YRiskNetAssets","Risk1YModifiedSharpe","Risk3YMeanReturn","Risk3YStdDev","Risk3YAlpha","Risk3YBeta","Risk3YRSquare","Risk3YSharpe","Risk3YTreynor","Risk3YResidualRisk","Risk3YIR","Risk3YDownsideDev","Risk3YUpsideDev","Risk3YRiskNetAssets","Risk3YModifiedSharpe","AllocationEquity","AllocationBond","AllocationFuturesLong","AllocationFuturesShort","AllocationOptionsLong","AllocationOptionsShort","AllocationFundSecurities","AllocationLiquidity","AllocationNetAssets","AllocationFundAssets","AllocationETF","AllocationEquityPct","AllocationBondPct","AllocationFuturesLongPct","AllocationFuturesShortPct","AllocationFundSecuritiesPct","AllocationLiquidityPct","AllocationETFPct"
"K55207CP5512","교보악사평생든든적격TDF2025자(채혼-재간접)ClassC-Re(퇴직연금)","교보악사평생든든적격TDF2025자(채혼-재간접)","ClassC-Re(퇴직연금)","2025","교보악사운용","1.1","5.15","9.59","11.61","16.55","20.97","27.04","40.52","28.34","11.38","80.52","61.78","2019-05-21","해외기타","글로벌라이프싸이클","MSCI ACWI CR 50% + 종합채권01Y 50%","80.52","65.7","14.81","1.36","0.02","0.04","-0.01","80.52","70.86","9.65","-14.16","0.02","0.06","-0.04","0.36","6.44","3.86","1.09","0.65","2.49","14.68","3.82","1.27","3.97","3.89","79.75","2.49","0.22","6.63","1.58","0.83","0.51","1.21","9.66","4.73","0.05","4.83","4.66","79.75","1.21","0","0","0","0","0","0","73.82","6.7","80.52","61.78","0","0","0","0","0","91.679086","8.320914","0"
"K55301BM2419","미래에셋ETF로자산배분적격TDF2025자(채혼-재간접)종류C-P2","미래에셋ETF로자산배분적격TDF2025자(채혼-재간접)","종류C-P2","2025","미래에셋운용","0.92","3.35","6.7","8.53","13.99","18.63","24.95","36.57","25.72","8.46","645.66","424.61","2017-03-13","해외기타","글로벌라이프싸이클","MSCI ACWI CR 50% + 종합채권01Y 50%","645.66","681.8","-36.14","-150.08","0.18","0.37","-0.18","645.66","852.79","-207.13","-428.03","0.18","0.77","-0.58","0.33","7.13","0.26","1.26","0.71","2.01","11.34","4.01","0.8","4.55","3.76","642.85","2.01","0.2","7.91","-1.22","1.06","0.6","0.89","6.61","5.04","-0.14","5.41","4.74","642.85","0.89","0","0","0","0","0","0","644.87","0.8","645.66","424.61","0","0","0","0","0","99.877645","0.123904","0"
"K55301BM8069","미래에셋전략배분적격TDF2025혼합자산자종류C-P2","미래에셋전략배분적격TDF2025혼합자산자","종류C-P2","2025","미래에셋운용","0.87","4.07","8.66","10.83","16.5","21.6","27.27","40.45","34.07","10.61","4453.9","2757.81","2017-03-24","해외기타","글로벌라이프싸이클","MSCI ACWI CR 50% + 종합채권01Y 50%","4453.9","4230.81","223.09","-632.75","1.27","2.27","-1","4453.9","4774.88","-320.98","-1833.31","1.27","4.29","-3.02","0.37","5.39","6.26","0.95","0.7","3.11","17.74","2.96","1.91","3.25","3.02","4466.78","3.11","0.22","5.78","1.8","0.8","0.64","1.39","10","3.66","0.08","4.09","3.32","4466.78","1.39","0","0","0","0","0","0","4387.76","78.87","4453.9","2757.81","0","0","0","0","0","98.515009","1.770808","0"
"K55105BC8994","삼성글로벌액티브적격TDF2025H[채혼-재간접]_Cp(퇴직연금)","삼성글로벌액티브적격TDF2025H[채혼-재간접]","_Cp(퇴직연금)","2025","삼성운용","1.19","4.14","6.13","7.89","11.22","15.52","23.4","33.63","21.04","7.38","1097.45","680.64","2016-04-21","해외기타","글로벌라이프싸이클","MSCI ACWI CR 50% + 종합채권01Y 50%","1097.45","1055.59","41.86","-114.71","0.31","0.57","-0.25","1097.45","1144.84","-47.4","-361.58","0.31","1.03","-0.72","0.28","6.25","-0.55","1.1","0.7","1.86","10.63","3.47","0.15","3.62","3.38","1093.6","1.86","0.18","6.27","0.04","0.8","0.54","1","7.81","4.39","-0.34","4.29","4.55","1093.6","1","0","0","0","0","0","0","788.51","63.07","1097.45","680.64","283.97","0","0","0","0","71.849287","5.746959","25.875439"
"K55210BU2351","신한마음편한적격TDF2025[채혼-재간접](종류C-re)","신한마음편한적격TDF2025[채혼-재간접](","종류C-re)","2025","신한자산운용","1.32","5.13","8.32","11.82","16.28","20.23","25.98","38.74","30.57","11.44","1292.51","929","2017-08-22","해외기타","글로벌라이프싸이클","MSCI ACWI CR 50% + 종합채권01Y 50%","1292.51","1092.49","200.02","-22.54","0.37","0.59","-0.22","1292.51","716.01","576.5","229.52","0.37","0.64","-0.27","0.34","5.09","6.1","0.82","0.59","2.98","18.6","3.39","1.2","3.48","3.47","1292.27","2.98","0.21","5.24","2.54","0.64","0.5","1.44","11.7","4.24","-0.05","4.21","4.29","1292.27","1.44","102.31","0","0","0","0","0","568.47","26.47","1292.51","929","612.37","7.915606","0","0","0","43.981865","2.047953","47.378357"
"K55107D41067","우리다같이적격TDF2025(혼합-재간접)ClassC-Pe","우리다같이적격TDF2025(혼합-재간접)","ClassC-Pe","2025","우리운용","0.7","0.99","3.46","5.16","6.29","9.63","18.31","28.25","21.41","4.87","145.77","120.01","2020-09-25","해외기타","글로벌라이프싸이클","MSCI ACWI CR 50% + 종합채권01Y 50%","145.77","188.37","-42.6","-58.34","0.04","0.1","-0.06","145.77","42.96","102.8","77.72","0.04","0.04","0","0.17","4.32","0.94","0.49","0.3","1.49","13.03","4.35","-1.08","4.49","4.38","148.8","1.49","0.16","5.32","0.89","0.55","0.35","0.97","9.38","5.01","-0.52","5.13","4.94","148.8","0.97","1.62","0","0","2.92","0","0","43.36","11.07","145.77","120.01","161.61","1.11134","0","0","2.003156","29.745489","7.594155","110.866433"
"K55206C95636","키움키워드림적격TDF2025 1[채혼-재간접]C-P2e(퇴직연금)","키움키워드림적격TDF2025 1[채혼-재간접]","C-P2e(퇴직연금)","2025","키움투자운용","0.85","5.15","7.51","9.43","13.38","17.11","23.38","36.13","25.64","9.65","275.71","191.88","2018-08-20","해외기타","글로벌라이프싸이클","MSCI ACWI CR 50% + 종합채권01Y 50%","275.71","284.26","-8.54","-52.05","0.08","0.15","-0.07","275.71","266.79","8.92","-73.73","0.08","0.24","-0.16","0.3","5.55","3.08","0.88","0.58","2.33","14.61","3.65","0.49","3.96","3.47","276.42","2.33","0.2","5.99","1.1","0.76","0.53","1.17","9.2","4.32","-0.17","4.7","3.99","276.42","1.17","0","0","0","5.33","0","0","128.99","6.46","275.71","191.88","235.48","0","0","0","1.933191","46.784665","2.343042","85.408581"
"K55101BK8378","한국투자적격TDF알아서2025(채혼-재간접)(C-R)","한국투자적격TDF알아서2025(채혼-재간접)","(C-R)","2025","한국투자신탁운용","1.36","5.72","10","11.17","14.84","18.48","24.69","38.09","22.9","11.75","635.64","376.68","2017-03-07","해외기타","글로벌라이프싸이클","MSCI ACWI CR 50% + 종합채권01Y 50%","635.64","601.8","33.85","-70.77","0.18","0.32","-0.14","635.64","609.63","26.02","-172.28","0.18","0.55","-0.37","0.32","6.72","1.42","1.12","0.63","2.07","12.4","4.12","0.67","4.51","3.9","632.9","2.07","0.2","6.4","0.69","0.86","0.6","1.16","8.55","4.12","-0.09","4.14","4.13","632.9","1.16","0","0","0","0","0","0","419.87","17.46","635.64","376.68","210.21","0","0","0","0","66.054685","2.746838","33.070606"
"K55213DW7809","한화LIFEPLUS적격TDF2025자(채혼-재간접)O(퇴직연금-디폴트옵션)","한화LIFEPLUS적격TDF2025자(채혼-재간접)","O(퇴직연금-디폴트옵션)","2025","한화운용","0.89","3.51","6.53","8.91","14.54","19.57","26.58","39.5","","8.94","568.2","417.64","2022-12-09","해외기타","글로벌라이프싸이클","MSCI ACWI CR 50% + 종합채권01Y 50%","568.2","471.44","96.76","3.08","0.16","0.25","-0.09","568.2","0.76","567.45","436.37","0.16","0","0.16","0.33","4.77","6.09","0.78","0.6","3.09","18.96","3.18","1.14","3.59","3.03","567.06","3.09","0.21","5.75","2.04","0.74","0.55","1.35","10.5","4.16","0.01","4.5","3.86","567.06","1.35","0","0","0","0","0","0","564.73","3.52","568.2","417.64","0","0","0","0","0","99.3893","0.6195","0"
"K55213CC7895","한화신종개인연금적격TDF2025전환자(채혼-재간접)","한화신종개인연금적격TDF2025전환자(채혼-재간접)","","2025","한화운용","0.88","3.47","6.44","8.72","14.24","19.16","25.74","38.14","28.97","8.78","151.97","139.7","2018-09-03","해외기타","글로벌라이프싸이클","MSCI ACWI CR 50% + 종합채권01Y 50%","151.97","138.46","13.51","-11.68","0.04","0.07","-0.03","151.97","143.11","8.86","-36.2","0.04","0.13","-0.09","0.33","4.77","5.76","0.78","0.6","3.02","18.54","3.18","1.03","3.63","2.99","150.75","3.02","0.2","5.77","1.7","0.74","0.54","1.29","10.05","4.16","-0.07","4.54","3.82","150.75","1.29","0","0","0","0","0","0","150.87","1.12","151.97","139.7","0","0","0","0","0","99.276173","0.736988","0"
