Issue code,Issue name,Close,Change,%Change,Open,High,Low,Trading volume,Trading value,Market cap.,No.of listed shares
97950,CJ CheilJedang,202000,-2000,-0.98,206500,207000,199300,92849,18727019100,3.04095E+12,15054186
97955,CJ CheilJedang(1P),126000,-700,-0.55,126700,127500,125000,8205,1031690300,1.67257E+11,1327433
120,CJ LOGISTICS,85500,0,0,86100,86700,82800,87111,7379130800,1.95046E+12,22812344
1045,CJ(1P),79000,-1600,-1.99,79700,80900,78200,3962,314852700,1.78558E+11,2260223
00104K,CJ(4PC),148200,-1700,-1.13,149900,150000,143800,7810,1144419800,6.26369E+11,4226512
11150,CJSEAFOOD,2170,-75,-3.34,2245,2300,2125,152097,329073152,77969777410,35930773
11155,CJSEAFOOD(1P),12090,-820,-6.35,12700,12700,12090,1222,14833870,2418000000,200000
480370,CK Solution,1864,-120,-6.05,1965,1990,1788,255787,474541747,60545344512,32481408
63160,CKDBio,16950,-690,-3.91,17640,17760,16950,24948,427076340,92987055900,5485962
192820,COSMAX,173700,-1400,-0.8,175500,177000,169100,76004,13150655600,1.97141E+12,11349509
44820,COSMAX bti,18120,-170,-0.93,18470,18530,17470,30611,547687485,1.74023E+11,9603921
5420,COSMOCHEM,14190,-340,-2.34,14520,14580,13790,203180,2855898520,5.45013E+11,38408228
21240,COWAY,90000,-2400,-2.6,94400,94400,88700,338505,30493667700,6.36907E+12,70767426
480,CR Holdings,4790,25,0.52,4785,4790,4720,29792,141268475,2.24605E+11,46890490
264900,CROWN,8130,-60,-0.73,8280,8320,8100,17324,141945560,1.01819E+11,12523850
26490K,CROWN(1P),8530,-260,-2.96,8650,8800,8370,1556,13149790,6598466800,773560
5740,CROWNHAITAI Holdings,6290,-180,-2.78,6470,6490,6260,26321,166516170,93389812630,14847347
5745,CROWNHAITAI Holdings(1P),6700,-20,-0.3,6610,6700,6310,2065,13491480,4024864200,600726
590,CSHOLDINGS,74700,-2200,-2.86,76900,77000,72800,1287,95575950,86239805400,1154482
112610,CSWIND,47500,-500,-1.04,48500,49400,46050,379613,17849541775,2.00314E+12,42171403
308170,CTR Mobility,4075,-65,-1.57,4140,4252,4040,18502,75667920,35085750000,8610000
192400,CUCKOO,24900,150,0.61,24800,24900,24200,32269,789687225,8.85498E+11,35562185
284740,CUCKOO HOMESYS,22700,350,1.57,22400,22850,21700,24854,553797200,5.09327E+11,22437330
68270,Celltrion,192900,2900,1.53,191600,194500,189400,1133295,2.18242E+11,4.28474E+13,222122341
2420,Century,5880,-510,-7.98,6390,6390,5800,67151,399110370,35103294240,5969948
9310,Charm Engineering,5330,0,0,0,0,0,0,0,23329484620,4377014
30000,CheilWorldwide,18460,150,0.82,18400,18620,18160,580965,10710350815,2.12366E+12,115041225
51630,ChinYangChem,1622,-89,-5.2,1715,1736,1580,155352,252191807,34386400000,21200000
10640,ChinYangPoly,1895,-39,-2.02,1931,1936,1862,50028,94374410,31646500000,16700000
2780,ChinhungInt,973,-43,-4.23,1018,1024,960,2219103,2159716998,1.41544E+11,145471745
100250,Chinyang Holdings,2930,-40,-1.35,2970,2970,2905,82531,241743317,1.87227E+11,63900000
3780,Chinyang Industry,4855,-165,-3.29,5010,5050,4795,157366,765699095,63115000000,13000000
1550,Chobi,11330,-370,-3.16,11670,11880,11110,50138,567839565,58828067870,5192239
4700,ChokwangLeat,63400,-400,-0.63,65000,65000,62600,1872,118499700,4.21555E+11,6649138
4910,ChokwangPaint,3660,-140,-3.68,3810,3830,3600,54016,197494715,46848000000,12800000
950,Chonbang,26150,-600,-2.24,27500,27500,25750,822,21630100,43932000000,1680000
462520,Chosun REF,14490,-230,-1.56,14720,14900,14460,19555,288017780,1.71781E+11,11855168
650,ChunilExp,194200,-7800,-3.86,203000,210000,194000,15695,3122832300,2.77555E+11,1429220
36420,ContentreeJoongAng,5160,80,1.57,5030,5240,4980,59572,302283930,99393509280,19262308
5070,CosmoAM&T,52200,-2400,-4.4,54400,54600,51500,221529,11627750800,1.7338E+12,33214571
377190,D&D platform REIT,2450,-120,-4.67,2570,2570,2445,206283,510136365,2.1658E+11,88400000
12800,DAECHANG,1447,-63,-4.17,1520,1530,1423,1603540,2325515020,1.3188E+11,91140499
490,DAEDONG CORP.,8520,-90,-1.05,8650,8760,8340,208500,1762677665,2.45605E+11,28826865
8060,DAEDUCK,21550,100,0.47,22050,22500,20900,147164,3162240875,6.74237E+11,31287098
00806K,DAEDUCK(1P),13400,-120,-0.89,13430,13700,13180,16990,226214305,16245583800,1212357
439260,DAEHAN SHIPBUILDING,63200,-1000,-1.56,65000,65800,61300,114110,7160604250,2.40721E+12,38088730
69460,DAEHOAL,2660,0,0,0,0,0,0,0,46322277400,17414390
19680,DAEKYO,1152,7,0.61,1135,1164,1101,77056,87221782,97577683200,84702850
19685,DAEKYO(1PB),851,-32,-3.62,850,893,850,17575,15176760,16532368490,19426990
5750,DAELIM BATH,4585,-165,-3.47,4750,4850,4530,44481,204246002,76075420400,16592240
16710,DAESUNG HOLDINGS,7240,-100,-1.36,7570,7570,7140,20934,150353260,1.16488E+11,16089459
117580,DAESUNGENERGY,7560,-130,-1.69,7590,7650,7450,230932,1733012490,2.079E+11,27500000
128820,DAESUNGIND,5800,-230,-3.81,6080,6080,5750,343263,2000464690,2.62366E+11,45235478
69620,DAEWOONG PHARM,130600,-1100,-0.84,132300,133900,127100,39334,5105672200,1.51321E+12,11586575
3547,DAISHINSECU(2PB),19980,120,0.6,19860,20100,19590,26567,525427175,1.95871E+11,9803333
58730,DASCO,2580,-100,-3.73,2680,2715,2515,163974,422753401,51466410180,19948221
12030,DB,2085,-135,-6.08,2300,2340,2085,1939792,4250612196,4.19448E+11,201173933
990,DB HiTek,185500,-8800,-4.53,197100,202000,180500,1008623,1.87681E+11,8.0701E+12,43504588
5830,DB INSURANCE,143100,2000,1.42,141100,144000,132500,862160,1.21037E+11,9.3731E+12,65500349
16610,DB Sec,11000,-120,-1.08,11130,11250,10730,105942,1158251555,4.6691E+11,42446389
