Issue code,Issue name,Close,Change,%Change,Open,High,Low,Trading volume,Trading value,Market cap.,No.of listed shares
244920,A Plus Asset,10660,-720,-6.33,11400,11480,10450,54627,596932815,2.40998E+11,22607693
140910,A REIT,3130,0,0,0,0,0,0,0,13969290160,4463032
15260,A&P,590,-19,-3.12,609,628,558,314713,184102469,27798967460,47116894
78520,ABLE C&C,12870,-370,-2.79,13300,13300,12800,78546,1021440325,3.34802E+11,26014161
18250,AEKYUNG INDUSTRIAL,12500,-290,-2.27,12700,12780,12400,42736,534374495,3.30124E+11,26409935
95570,AJ Networks,4635,-95,-2.01,4730,4730,4530,453476,2086665856,2.09747E+11,45252759
9320,AJIN ELEC COMPONENTS,974,3,0.31,971,996,930,321437,309271242,48017975980,49299770
139990,AJUSTEEL,2940,-70,-2.33,3010,3035,2910,100464,293810613,1.13941E+11,38755414
161000,AK CHEMICAL,13350,-1340,-9.12,14200,14370,13300,477540,6532108190,6.4946E+11,48648709
6840,AK Holdings,7570,-230,-2.95,7900,7900,7570,10181,77766440,1.00284E+11,13247561
1780,ALUKO,2360,-125,-5.03,2490,2495,2325,1421102,3372067356,2.28519E+11,96830132
90430,AMOREPACIFIC,116600,-2100,-1.77,118500,118700,116000,183283,21466094550,6.82026E+12,58492759
2790,AMOREPACIFIC Holdings,23000,-1050,-4.37,23900,24000,22850,197041,4558456025,1.75854E+12,76458180
2795,AMOREPACIFIC Holdings(1P),10670,-280,-2.56,10950,11160,10610,12206,130532890,68087105240,6381172
00279K,AMOREPACIFIC Holdings(3PC),20450,-650,-3.08,21100,21200,20250,9853,202029900,1.45035E+11,7092200
90435,AMOREPACIFIC(1P),38850,-800,-2.02,39650,39800,38450,23968,928692275,4.10172E+11,10557830
278470,APR,385000,-4500,-1.16,388000,394500,377500,277932,1.06796E+11,1.44137E+13,37438155
2030,ASIA HOLDINGS,212000,-6500,-2.97,218500,218500,209000,2351,499381750,4.36477E+11,2058852
183190,ASIACEMENT,10000,-170,-1.67,10170,10190,9950,88930,889940320,3.65064E+11,36506428
17900,AUK,12400,-1100,-8.15,13500,13510,11570,3711260,45836790855,7.18503E+11,57943763
298690,AirBusan,1876,-27,-1.42,1903,1903,1858,156428,292837082,2.18817E+11,116640000
8700,AnamElec,1213,-39,-3.12,1252,1258,1205,443223,541626629,93552406660,77124820
7460,Aprogen,4115,-325,-7.32,4440,4495,4100,298121,1256585006,92269007230,22422602
3060,Aprogen Biologics,3355,-200,-5.63,3500,3555,3345,150747,510357637,48353514770,14412374
12170,Ascendio,1021,-29,-2.76,1050,1080,1012,119967,123525488,19800555216,19393296
2310,AsiaPaprMfg,7950,-100,-1.24,8010,8040,7720,191726,1508229180,3.13624E+11,39449510
20560,Asiana Airlines,7420,-160,-2.11,7550,7550,7250,128894,949460395,1.52845E+12,205990711
267850,AsianaIDT,10170,-90,-0.88,10490,10490,10000,18232,184170250,1.12887E+11,11100000
